uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A0F5NA60	0.38461538461538464	1;3;5;6;11;12;15;18;19;25;28;29;31;35;36	39	2.5592049884796144	1.1800658656640028	0.73	1;2;3;4;5;6;7;9;11;12;13;15;16;18;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;43;46;47;48;50;51;53;54;55;57;59;60;61;62;63;65;66;67;68;71;73;75;77;78;79;80;81;82;83;85;86;87;88;92;93;97;99;100
A0A0H3MCY6	0.39285714285714285	1;2;5;9;10;11;14;18;19;20;21;25;26;27;29;35;38;41;43;46;50;52	56	2.246221505403519	1.3203872569467818	0.89	1;2;3;4;5;6;7;9;10;11;12;13;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;56;57;58;59;60;61;62;63;64;66;67;68;69;70;71;72;73;74;75;76;77;78;80;81;82;84;85;86;87;88;89;90;91;92;93;94;95;96;98;99;100
A0A0I9Z3I8	0.38596491228070173	4;5;6;7;9;11;13;14;19;20;22;24;27;36;38;39;40;41;43;45;54;56	57	2.195822466611862	1.2002080103322783	0.96	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
A0A0N9YG13	0.3181818181818182	3;4;5;10;15;19;20;24;26;27;28;30;36;43	44	2.551474951505661	1.0213904984558677	0.52	1;2;3;4;6;8;9;12;13;15;18;20;22;23;24;26;32;35;37;40;43;44;46;47;49;50;51;52;53;58;61;64;65;66;67;69;72;73;74;75;77;78;79;85;86;89;91;92;93;95;96;100
A0A0U0ZG49	0.36363636363636365	3;5;7;9;10;11;14;17;21;22;29;33	33	2.707639931440353	1.0712872062635892	0.75	1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;26;27;31;32;34;36;37;38;43;44;45;46;47;49;51;53;54;56;57;58;59;61;62;63;65;67;68;69;72;73;74;75;76;77;78;79;82;83;84;85;86;87;88;89;91;92;94;96;97;98;99;100
A0A0U1E1C0	0.3148148148148148	2;3;5;6;7;8;10;14;25;26;29;30;31;33;37;39;51	54	2.2983003205060957	1.1560737528072191	0.82	1;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;32;34;35;37;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;70;71;73;74;76;77;79;80;81;82;83;86;87;89;93;94;95;97;98;99;100
A0A163Z098	0.3333333333333333	3;6;9;10;12;15;19;25;29;32;33;34	36	2.730775363445282	1.1039232092753002	0.93	1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;34;35;36;37;38;39;40;41;42;43;44;45;46;47;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;75;76;77;78;79;80;81;82;85;86;87;88;89;90;91;92;93;94;95;96;97;99;100
A0A178LTI6	0.4411764705882353	8;9;12;14;17;18;20;25;27;28;29;30;31;32;34	34	2.9711078894138336	1.168481813110998	0.74	1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19;23;24;25;27;28;30;31;32;33;34;36;37;38;39;40;41;43;44;46;47;48;49;50;51;52;54;55;57;58;62;64;65;66;67;68;70;71;78;80;81;83;84;85;86;87;88;89;90;91;93;94;95;96;97;99;100
A0A179V396	0.3488372093023256	2;4;8;13;17;24;26;29;32;34;36;37;41;42;43	43	2.620466943979263	1.0583892575539144	0.64	1;2;3;5;6;7;9;11;13;15;16;17;19;21;22;24;25;27;29;30;32;34;35;37;38;42;45;47;48;49;50;51;52;53;54;55;56;57;58;59;60;62;63;65;66;67;69;71;72;73;74;75;77;81;82;84;87;88;89;91;93;95;96;98
A0A1A2DP38	0.6046511627906976	2;6;10;11;12;13;14;15;17;19;20;22;23;24;26;27;29;30;32;33;36;37;38;39;40;43	43	2.6229192662239074	1.3451918985657136	0.77	1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19;21;22;24;25;26;27;28;29;30;31;32;33;34;36;37;38;40;41;42;43;44;45;46;47;50;52;53;54;55;56;57;58;59;60;61;62;65;66;67;69;70;71;72;73;76;77;80;81;82;83;86;87;88;89;92;94;95;97;98;100
A0A1A2SKN5	0.3	6;8;10;14;18;23;24;28;29;31;35;36	40	2.4082912015914917	0.9407329517880617	0.55	2;3;4;5;7;8;9;11;12;13;14;15;16;17;18;19;21;25;27;31;32;33;34;36;37;39;41;45;46;48;50;51;52;54;55;56;57;59;60;64;65;67;68;70;71;74;76;77;78;80;82;85;86;88;91
A0A1A6BMZ1	0.2708333333333333	1;2;3;7;8;19;20;28;33;38;43;46;48	48	2.2309677708148956	1.1358616142756146	0.67	1;2;3;5;7;9;10;11;12;13;14;15;17;18;19;22;23;24;26;27;29;30;31;32;33;34;35;39;40;41;43;44;45;46;48;49;50;51;52;53;57;60;61;62;63;64;66;69;70;71;72;74;76;77;79;81;83;86;87;88;89;90;91;92;93;94;96
A0A1B8SKL4	0.37142857142857144	2;4;6;9;13;14;15;19;25;27;30;32;33	35	2.7100614142417907	1.069685606771727	0.84	1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;23;24;26;27;28;29;30;31;33;34;35;36;37;38;39;40;41;43;44;45;46;47;50;51;52;53;54;55;56;57;58;59;60;61;62;63;65;67;69;71;72;73;74;75;77;78;79;80;82;83;85;86;87;88;89;90;91;92;93;94;96;97;98;100
A0A1E3RBW0	0.5357142857142857	5;6;7;8;9;11;14;15;16;18;19;20;21;23;24;25;28;30;33;34;39;40;41;44;47;48;51;52;54;56	56	2.3078683292865754	1.1520442326788356	0.7	2;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;27;28;29;30;31;32;33;34;36;37;38;39;41;43;46;47;48;49;50;51;52;53;54;56;57;58;59;60;61;62;63;64;66;68;70;75;77;78;80;82;83;84;85;86;87;89;90;94;95;96;100
