uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0AA37PJ36	0.37209302325581395	2;9;12;13;16;20;21;22;23;26;27;31;35;38;40;43	43	2.590959093570709	1.1992026674835632	0.72	1;2;3;4;5;7;9;10;11;12;13;14;16;17;18;19;20;21;22;24;25;27;28;32;33;34;35;36;38;39;40;41;42;44;45;48;49;50;51;52;53;54;55;56;58;59;60;61;62;63;66;67;68;69;73;74;76;77;78;81;82;83;84;85;86;87;89;92;93;95;96;98
A0AB73U9A3	0.32	5;7;9;12;14;15;17;18;24;25;28;31;37;38;40;47	50	2.5187867295742037	1.2394796739537612	0.77	1;3;5;6;7;8;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;32;35;36;38;39;40;44;45;46;48;49;50;51;52;53;54;55;56;58;59;61;62;63;64;65;66;67;68;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;92;95;98;99;100
A0A498PZZ1	0.4146341463414634	4;5;8;9;12;13;14;17;20;22;25;26;31;33;39;40;41	41	2.7233681261539457	1.268975628398154	0.78	2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;38;40;41;42;44;45;47;48;49;50;51;52;53;54;57;58;60;61;62;64;68;69;70;72;74;75;76;78;79;80;81;83;84;86;87;88;89;90;92;93;95;96;97;98;99;100
A0A934NT38	0.43137254901960786	1;4;6;8;10;11;12;15;16;17;18;21;23;24;28;29;35;40;41;42;47;49	51	2.162245725393295	0.8079933809304384	0.91	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;50;52;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;74;75;76;77;78;79;80;81;82;84;86;87;88;89;91;92;93;95;96;98;99;100
A0A1S1LZ61	0.32653061224489793	10;15;17;20;23;25;27;28;29;31;33;36;38;43;48;49	49	2.410226435661316	1.0474153536637063	0.76	1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;21;22;23;24;25;26;28;29;30;31;32;33;34;36;39;42;43;44;45;46;47;48;49;50;51;53;54;55;56;59;60;61;62;63;65;66;68;70;72;73;74;75;76;77;79;80;81;82;83;87;88;89;90;93;94;97;98;99;100
A0A1X0AYB7	0.36	3;6;15;17;18;22;23;24;25;26;29;31;35;36;37;44;45;50	50	2.5663980829715727	1.31966769316998	0.67	1;2;3;4;5;6;7;9;10;11;14;15;17;18;19;24;25;26;27;29;32;33;38;39;40;41;42;44;45;46;48;51;52;57;58;59;61;62;63;65;66;67;68;69;70;72;74;75;76;77;78;79;80;82;83;84;86;88;89;91;92;93;94;95;97;98;100
A0A401YST3	0.3409090909090909	3;6;7;8;11;12;17;23;28;30;31;32;33;41;42	44	2.578860249519348	1.1753576795778147	0.83	1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;36;37;38;39;40;41;42;43;46;47;48;49;50;51;52;53;54;55;56;59;60;61;62;63;64;66;67;69;70;71;72;73;77;78;79;80;81;83;84;85;88;89;90;91;92;93;94;95;96;97;98;100
A0AB38USB2	0.5	1;2;3;5;7;8;10;11;13;17;19;21;22;25;29;30;33;36;37	38	2.6235800528526307	1.0279926642119133	0.89	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;19;20;21;23;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;54;55;56;58;59;61;62;63;64;65;66;67;68;69;70;72;73;74;75;76;77;78;79;80;81;82;83;85;86;88;89;90;92;93;94;95;96;97;98;99;100
A0A318K9K9	0.38181818181818183	1;9;10;13;14;17;18;20;21;22;27;29;32;33;36;37;38;43;50;51;55	55	2.3538055443763732	1.2532206991168864	0.86	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;35;36;37;38;40;41;42;43;45;46;47;48;49;50;51;53;54;55;56;57;60;61;62;63;64;65;67;68;69;70;71;72;73;75;77;78;79;80;81;82;83;84;86;87;88;89;90;91;92;94;95;96;97;98;99
A0A0I9Z3I8	0.39285714285714285	3;7;8;9;11;14;18;20;22;23;24;26;31;33;37;41;42;45;48;51;52;56	56	2.230630625486374	1.184055918205087	0.96	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
