uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A064CG00	0.32558139534883723	2;6;12;17;19;23;24;25;26;30;36;38;42;43	43	2.682795604467392	1.267564236937411	0.68	1;2;3;6;8;9;10;11;12;13;14;15;18;19;21;22;23;24;26;27;28;29;31;32;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;52;53;55;59;60;61;63;66;67;72;74;75;76;77;78;79;83;84;85;87;90;91;93;94;95;97;98;99;100
A0A0F4ES51	0.32432432432432434	7;8;11;15;16;18;19;22;24;28;32;35	37	2.697931618690491	1.153468902203959	0.84	1;2;3;4;5;6;7;9;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35;36;37;40;41;42;43;44;45;46;48;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;80;81;82;83;84;86;87;90;92;93;95;98;99;100
A0A0H3MCY6	0.3684210526315789	1;2;3;7;8;11;14;16;20;21;23;26;27;29;30;32;39;40;51;53;57	57	2.167554032206535	1.2035987162424013	0.78	1;3;4;5;6;7;11;12;13;16;18;20;21;22;23;24;25;26;27;28;29;30;31;33;34;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;53;54;56;57;58;59;60;61;62;63;64;67;68;69;70;71;72;73;74;75;76;78;80;81;82;84;86;87;88;89;90;91;92;93;94;96;98;100
A0A0I9Z3I8	0.39285714285714285	1;9;13;15;19;22;23;24;25;26;27;28;29;31;33;34;35;40;45;49;50;56	56	2.203136088848114	1.1587096902144314	0.96	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
A0A0U0ZG49	0.4722222222222222	1;5;7;8;12;14;15;16;17;18;19;22;23;27;28;31;33	36	2.6528540456295016	1.014581894122402	0.75	1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;26;27;31;32;34;36;37;38;43;44;45;46;47;49;51;53;54;56;57;58;59;61;62;63;65;67;68;69;72;73;74;75;76;77;78;79;82;83;84;85;86;87;88;89;91;92;94;96;97;98;99;100
A0A0U1E1C0	0.3695652173913043	4;5;6;7;11;16;22;27;30;32;34;37;38;39;40;41;42	46	2.5673213565349577	1.2363119906180475	0.6	1;3;4;5;6;8;9;10;12;13;14;15;17;18;21;22;23;24;25;27;28;29;34;35;37;39;40;41;42;44;46;48;49;50;54;55;57;58;59;60;61;64;65;67;68;70;71;74;76;79;80;82;86;87;89;93;95;97;98;99
A0A178LTI6	0.6129032258064516	2;4;5;7;8;9;13;14;15;16;17;19;20;21;24;28;29;30;31	31	2.944708766937256	1.1466428833952178	0.74	1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19;23;24;25;27;28;30;31;32;33;34;36;37;38;39;40;41;43;44;46;47;48;49;50;51;52;54;55;57;58;62;64;65;66;67;68;70;71;78;80;81;83;84;85;86;87;88;89;90;91;93;94;95;96;97;99;100
A0A179V396	0.45	1;3;8;12;15;17;19;20;22;25;27;29;32;34;35;36;38;39	40	2.8432013273239134	1.195814292787516	0.64	1;2;3;5;6;7;9;11;13;15;16;17;19;21;22;24;25;27;29;30;32;34;35;37;38;42;45;47;48;49;50;51;52;53;54;55;56;57;58;59;60;62;63;65;66;67;69;71;72;73;74;75;77;81;82;84;87;88;89;91;93;95;96;98
A0A1A2DP38	0.38095238095238093	1;6;8;11;16;17;18;22;25;29;30;34;36;37;38;41	42	2.690718573331833	1.404300993803453	0.77	1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19;21;22;24;25;26;27;28;29;30;31;32;33;34;36;37;38;40;41;42;43;44;45;46;47;50;52;53;54;55;56;57;58;59;60;61;62;65;66;67;69;70;71;72;73;76;77;80;81;82;83;86;87;88;89;92;94;95;97;98;100
A0A1A2EVY2	0.3170731707317073	5;7;11;13;15;17;20;26;27;30;35;39;40	41	2.715162899494171	1.278365914788682	0.52	1;2;3;4;8;9;11;12;13;14;16;17;18;21;23;25;28;30;31;32;34;35;38;41;44;45;46;52;53;54;58;60;66;67;68;71;72;74;79;80;81;83;86;89;90;91;93;94;97;98;99;100
A0A1A2SKN5	0.2978723404255319	4;8;11;14;17;18;20;25;27;29;36;41;46;47	47	2.4729022377729417	1.082198739251826	0.55	2;3;4;5;7;8;9;11;12;13;14;15;16;17;18;19;21;25;27;31;32;33;34;36;37;39;41;45;46;48;50;51;52;54;55;56;57;59;60;64;65;67;68;70;71;74;76;77;78;80;82;85;86;88;91
A0A1B8SKL4	0.37777777777777777	3;7;15;16;17;21;22;23;24;25;26;28;32;34;38;42;45	45	2.5699658608436584	1.1718731395393558	0.82	1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;23;24;26;27;28;29;30;31;33;34;35;36;37;38;39;40;41;43;44;45;46;47;50;51;52;53;54;55;57;58;60;61;62;63;65;67;69;71;72;73;74;75;77;78;79;80;82;83;85;86;87;88;89;90;91;92;93;94;96;97;98;100
A0A1D8GAR9	0.32608695652173914	2;8;10;11;12;16;17;18;20;23;30;35;36;43;44	46	2.4276487231254578	0.9737874222021852	0.58	5;6;8;9;10;11;12;14;15;16;17;18;19;20;21;24;25;27;29;30;34;35;36;37;41;42;43;44;46;49;50;51;53;56;58;60;61;62;63;64;66;67;68;70;73;74;78;84;87;89;90;91;92;94;95;97;98;100
A0A1E3RBW0	0.35714285714285715	13;14;15;16;19;21;22;24;26;30;33;35;37;40;41;42;44;46;52;55	56	2.2608649635314944	1.1384812169559908	0.7	2;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;27;28;29;30;31;32;33;34;36;37;38;39;41;43;46;47;48;49;50;51;52;53;54;56;57;58;59;60;61;62;63;64;66;68;70;75;77;78;80;82;83;84;85;86;87;89;90;94;95;96;100
A0A1E3SV84	0.3939393939393939	2;6;9;14;15;16;17;19;22;27;28;31;33	33	2.99603284239769	1.218638447511425	0.88	1;2;3;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;47;48;49;50;51;52;53;55;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;79;80;81;82;83;84;86;87;88;89;90;92;94;95;96;98;99;100
A0A1R3Y1N0	0.36363636363636365	1;6;9;11;18;21;22;25;26;28;30;33;37;39;41;44	44	2.6366960787773133	1.450681853882502	0.87	1;2;3;4;5;6;7;8;9;10;12;13;14;16;17;18;19;20;21;22;24;25;26;27;28;29;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;48;49;50;53;54;55;56;57;59;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;78;79;80;81;82;83;84;85;86;87;88;89;91;94;95;96;97;98;99;100
A0A1S1L7L3	0.4722222222222222	1;3;7;8;9;11;12;13;14;17;20;25;27;30;32;34;36	36	2.682047972679138	1.1232723363949972	0.84	1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;19;20;22;23;24;26;27;28;29;30;31;32;34;35;36;37;38;40;42;43;47;48;49;50;51;52;54;55;57;58;59;61;62;63;64;65;66;67;68;69;70;71;72;73;75;76;77;78;79;80;81;82;83;85;86;87;88;89;90;91;93;94;95;96;97;98;99;100
A0A1V3WG34	0.3333333333333333	10;12;15;16;21;24;26;28;29;30;31;36;42;44;47;48	48	2.4363473331928254	1.1087078673233408	0.8	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;25;26;27;28;29;30;31;34;36;37;38;39;40;41;44;45;46;48;51;52;53;54;55;56;57;58;60;61;63;64;66;67;68;69;70;71;72;73;74;75;77;78;79;82;83;84;85;86;88;89;90;92;93;94;95;97;99;100
