entry,nac_fraction_holo,nac_holo_idxs,n_confident_holo,prmsd_mean,prmsd_std,nac_fraction_apo,nac_apo_idxs,n_confident_apo
A0A0B1ZIQ0,0.42,1;3;4;5;8;9;10;12;14;18;21;24;27;29;31;32;34;35;36;37;45,50,2.616814122200012,1.2722061234403708,0.45,1;3;5;6;8;9;10;11;12;14;15;24;27;28;30;33;34;44;46;47;50;54;55;60;62;63;64;65;67;68;69;71;73;74;75;77;78;82;83;85;86;89;90;91;100,100
A0A0F4ES51,0.5272727272727272,2;4;8;11;13;16;17;20;22;26;28;30;31;32;33;37;38;39;41;42;43;44;45;47;48;49;52;53;55,55,2.366689628362656,1.1589473783465387,0.84,1;2;3;4;5;6;7;9;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35;36;37;40;41;42;43;44;45;46;48;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;80;81;82;83;84;86;87;90;92;93;95;98;99;100,100
A0A0F5NA60,0.4042553191489361,7;9;10;14;15;23;27;28;31;33;35;37;38;40;43;44;45;46;47,47,2.401847803592682,1.0111221654675684,0.85,1;2;3;4;5;6;7;9;10;11;12;13;15;16;18;19;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;43;46;47;48;49;50;51;53;54;55;56;57;59;60;61;62;63;64;65;66;67;68;70;71;72;73;75;77;78;79;80;81;82;83;84;85;86;87;88;90;91;92;93;96;97;98;99;100,100
A0A0H3MCY6,0.546875,1;2;3;7;8;9;10;11;14;16;19;20;21;22;23;24;28;32;34;35;37;38;39;42;43;45;46;49;50;51;52;55;60;61;62,64,2.113365491628647,1.5122383473440562,0.89,1;2;3;4;5;6;7;9;10;11;12;13;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;56;57;58;59;60;61;62;63;64;66;67;68;69;70;71;72;73;74;75;76;77;78;80;81;82;84;85;86;87;88;89;90;91;92;93;94;95;96;98;99;100,100
A0A0I9Z3I8,0.3809523809523809,1;4;8;12;14;16;20;25;26;27;28;29;32;34;35;42,42,2.637292857170105,1.186418001344563,0.96,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100,100
A0A0U1Z2H3,0.3962264150943396,1;8;17;18;19;21;23;24;29;30;31;32;35;36;37;38;39;40;43;45;47,53,2.5127572798728943,1.197733090115056,0.56,1;2;3;8;13;14;15;17;19;20;22;23;25;26;28;31;35;36;37;40;41;42;43;44;45;46;47;48;49;54;55;56;57;58;60;62;64;65;67;68;71;72;74;75;80;81;82;86;88;89;92;95;96;97;98;100,100
A0A100W5I0,0.4509803921568627,4;5;6;7;8;13;14;15;22;24;25;27;29;30;36;38;39;43;45;46;47;48;51,51,2.4134787583351134,1.0466778349269643,0.4,7;8;9;13;14;15;16;19;22;23;25;26;28;30;34;35;37;40;42;43;47;49;52;53;54;58;59;62;63;64;66;69;70;74;77;81;84;85;93;99,100
A0A179V396,0.5961538461538461,1;3;4;5;6;7;8;10;12;13;15;17;18;20;21;27;28;32;34;35;38;39;40;45;46;47;48;49;50;51;52,52,2.5083941161632537,1.089115293210108,0.64,1;2;3;5;6;7;9;11;13;15;16;17;19;21;22;24;25;27;29;30;32;34;35;37;38;42;45;47;48;49;50;51;52;53;54;55;56;57;58;59;60;62;63;65;66;67;69;71;72;73;74;75;77;81;82;84;87;88;89;91;93;95;96;98,100
A0A1A3TXF6,0.4210526315789473,2;4;6;8;9;11;21;22;24;27;29;30;31;32;39;40;42;43;44;46;47;51;52;57,57,2.2264661532640457,1.2154863341581963,0.47,2;4;5;12;14;15;16;17;18;20;21;22;23;24;29;30;32;33;41;42;43;47;49;50;51;53;55;56;58;61;62;66;71;73;75;76;77;78;81;82;85;89;91;95;96;97;98,100
A0A1E3RBW0,0.5573770491803278,3;5;7;8;11;12;13;14;15;17;18;20;26;27;29;31;32;34;36;37;39;40;41;42;43;44;47;52;53;54;56;59;60;61,61,2.070583688616753,1.0718953794190569,0.7,2;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;27;28;29;30;31;32;33;34;36;37;38;39;41;43;46;47;48;49;50;51;52;53;54;56;57;58;59;60;61;62;63;64;66;68;70;75;77;78;80;82;83;84;85;86;87;89;90;94;95;96;100,100
A0A1S1LFP5,0.509090909090909,1;3;5;7;8;10;13;14;15;16;17;18;19;25;26;27;28;29;30;31;33;35;39;41;42;45;49;51,55,2.3666175532341005,1.1784153697318869,0.84,1;2;3;4;5;6;7;8;9;11;12;13;14;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;44;45;46;47;49;50;51;52;53;54;55;56;57;58;59;60;62;63;64;65;66;69;71;72;73;74;75;76;77;78;79;81;82;84;85;86;87;88;89;90;92;95;97;98;99;100,100
A0A1S1LZ61,0.5094339622641509,2;4;5;6;7;8;10;14;15;17;21;22;28;29;34;37;39;40;41;42;43;44;46;47;48;49;51,53,2.4969541800022124,1.1423068023171272,0.76,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;21;22;23;24;25;26;28;29;30;31;32;33;34;36;39;42;43;44;45;46;47;48;49;50;51;53;54;55;56;59;60;61;62;63;65;66;68;70;72;73;74;75;76;77;79;80;81;82;83;87;88;89;90;93;94;97;98;99;100,100
A0A1U3MWT7,0.3877551020408163,10;12;13;15;19;20;21;26;28;30;35;37;39;40;42;44;45;46;47,49,2.4554164427518845,1.1158315074348142,0.56,1;2;3;5;6;7;9;11;12;15;16;17;23;25;26;27;29;30;31;33;37;38;39;43;44;50;51;52;53;55;57;58;59;61;62;63;64;65;66;68;69;70;71;73;77;79;81;82;86;87;89;90;94;97;99;100,100
A0A1W9ZU79,0.4313725490196078,1;3;4;9;10;11;13;16;19;20;22;23;26;30;39;40;42;43;44;45;49;51,51,2.538984178304672,1.2759438533679128,0.63,4;8;9;10;11;12;14;15;19;23;24;25;26;28;30;32;33;36;38;39;40;42;43;44;45;46;50;51;53;54;55;56;57;58;59;61;62;63;66;67;68;70;72;73;74;76;78;79;80;81;82;83;86;87;88;89;91;92;93;94;95;96;100,100
A0A1X0AYB7,0.5178571428571429,1;2;5;7;9;10;13;16;18;19;20;21;23;25;26;30;31;32;33;34;36;37;41;44;45;49;52;55;56,56,2.2615727466344837,1.1980856210903832,0.67,1;2;3;4;5;6;7;9;10;11;14;15;17;18;19;24;25;26;27;29;32;33;38;39;40;41;42;44;45;46;48;51;52;57;58;59;61;62;63;65;66;67;68;69;70;72;74;75;76;77;78;79;80;82;83;84;86;88;89;91;92;93;94;95;97;98;100,100
A0A1X0AZ01,0.4385964912280701,2;3;5;7;8;9;10;21;22;23;24;26;27;29;31;32;37;40;42;43;45;46;48;49;51,57,2.3746713185310364,1.3508788335496964,0.45,2;3;4;5;6;7;9;10;12;13;14;16;17;18;21;22;23;24;25;27;33;35;38;39;40;41;44;46;51;55;57;65;67;69;73;75;76;79;82;83;85;86;87;90;99,100
A0A1X0XYW4,0.7619047619047619,2;3;4;5;7;9;10;11;13;14;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31;32;33;35;36;39;40;41,42,2.664932949542999,1.2043939121466245,0.8,1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;30;31;32;33;34;35;36;37;38;41;42;43;44;46;47;49;50;51;52;53;54;55;56;58;59;60;62;63;64;65;67;68;69;72;73;74;75;76;77;80;81;83;85;87;88;89;90;91;94;95;96;97;98;99,100
A0A1X1WD57,0.5,3;4;6;7;9;10;11;12;13;19;20;21;23;28;29;30;32;33;34;35;36;37;38;39;40;41;43;47;52;53;55;63;66;68;70;72,72,1.827679042220116,1.0868625106496277,0.63,1;2;3;4;5;6;7;8;10;11;12;14;15;17;18;19;20;21;22;24;27;30;31;32;36;37;38;40;41;42;43;45;46;47;48;49;50;51;53;55;57;61;63;64;66;67;69;70;71;74;75;77;78;79;80;83;84;87;88;89;90;98;100,100
A0A1X1ZAJ3,0.4909090909090909,1;2;4;6;7;8;13;15;17;18;19;22;30;32;33;34;36;38;43;44;46;47;50;51;52;53;54,55,2.39231981754303,1.1334587408977252,0.97,1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;94;95;96;97;98;99;100,100
A0A1X2DPB1,0.6666666666666666,3;4;5;6;7;8;10;11;13;15;16;17;18;19;20;21;22;26;29;30;31;32,33,3.103667796254158,1.4984464903686154,0.46,1;2;4;6;9;10;11;15;16;17;19;20;23;24;26;37;38;42;44;48;49;52;53;54;56;59;60;66;67;68;73;76;78;79;80;82;83;87;89;90;91;95;96;97;98;100,100
A0A1Y5PCF7,0.4090909090909091,3;5;6;7;9;11;13;17;20;25;29;32;33;34;35;36;37;41;43;44;47;49;53;56;57;62;64,66,1.9341413462162016,1.1475458771997715,0.83,1;2;3;5;6;7;8;10;11;12;13;14;16;17;18;19;20;21;22;23;24;26;28;29;30;31;32;33;34;35;36;37;39;40;41;42;44;45;46;47;48;49;51;52;53;54;55;56;57;58;59;61;62;64;65;67;68;69;70;71;72;73;74;76;78;79;81;82;83;84;85;87;88;89;90;92;94;95;96;97;98;99;100,100
A0A1Z4EBS9,0.4722222222222222,2;3;5;6;8;10;11;12;14;16;18;19;24;29;34;35;36,36,2.907543530464173,1.3688328235567646,0.66,1;2;3;5;7;9;10;11;12;15;16;17;18;20;21;22;23;24;25;26;27;28;30;32;33;34;35;36;38;42;43;45;46;47;48;51;53;54;56;58;59;60;61;62;63;65;66;67;72;73;76;78;80;81;82;83;84;85;88;91;92;93;94;95;98;100,100
