entry,nac_fraction_holo,nac_holo_idxs,n_confident_holo,prmsd_mean,prmsd_std,nac_fraction_apo,nac_apo_idxs,n_confident_apo
A0A010YLP6,0.3958333333333333,1;3;4;5;8;10;11;13;14;16;18;20;30;32;34;35;39;40;41,48,2.5989089715480804,1.1713203364642457,0.32,3;4;5;7;8;10;12;16;18;19;27;31;45;46;49;50;55;56;58;59;62;67;69;71;74;75;76;78;89;93;96;99,100
A0A024JZE3,0.022222222222222223,20,45,2.3923417580127717,1.1999054057875485,0.2,8;11;15;27;34;36;44;56;59;61;63;67;68;82;86;88;89;92;94;98,100
A0A0B1ZIQ0,0.5454545454545454,1;2;5;7;8;10;11;16;18;19;21;22,22,3.1249979746341707,1.112526334957073,0.41,1;3;5;6;8;9;10;11;12;14;15;24;27;28;33;34;44;46;47;50;54;55;60;63;64;65;67;69;71;73;74;75;77;78;82;83;86;89;90;91;100,100
A0A0D2EWW5,0.0,,2,3.570163218975067,0.9313098333907069,0.0,,100
A0A117I9B3,0.13793103448275862,1;9;17;22,29,2.7992100381851195,1.0633306927883042,0.05,60;62;67;86;88,100
A0A1A0VEQ6,0.024390243902439025,33,41,2.633979043364525,1.3268917895804049,0.0,,100
A0A1E5P3C7,0.0,,33,2.8390252125263213,1.2660318414219336,0.0,,100
A0A1X1RMT2,0.038461538461538464,3;45,52,2.3163898926973343,1.0997495996258722,0.07,54;59;70;75;77;79;92,100
A0A1X1XQZ1,0.12903225806451613,2;6;7;12,31,2.8042761707305908,1.0239263483060599,0.04,50;53;70;87,100
A0A3Q9KMK0,0.2,4;5;18;25;30;31;34;38;46;48;49,55,2.2711226320266724,1.1686261174943355,0.55,1;2;3;4;5;8;10;15;16;17;19;20;21;22;23;24;29;30;31;32;34;35;36;38;39;43;44;45;47;49;51;54;56;57;59;60;61;62;63;64;72;73;74;78;80;81;82;83;85;89;90;91;92;93;94,100
A0A4R7IZC0,0.23076923076923078,5;9;11;14;15;19,26,3.0257278692722323,1.2269991254611832,0.47,1;2;3;4;5;6;7;12;13;14;16;17;19;20;22;23;25;27;28;30;35;36;44;45;47;48;50;52;54;56;62;63;64;65;68;69;71;73;74;82;83;84;89;91;97;99;100,100
A0A6G3SLA6,0.39473684210526316,1;6;13;20;21;23;24;25;26;27;32;33;36;37;38,38,2.703276914358139,1.156926826389139,0.73,1;2;3;4;6;7;8;9;11;13;16;17;18;19;20;21;22;24;25;26;27;31;33;34;35;36;37;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;56;59;61;62;63;64;65;66;67;68;69;76;77;80;81;82;83;84;85;86;88;89;90;91;94;95;97;98;99;100,100
A0A7H0I6F1,0.175,1;4;7;16;22;28;36,40,2.7644876408576966,1.2691380156448682,0.52,1;3;4;7;9;10;11;13;14;15;20;22;23;24;25;26;27;28;37;38;39;43;46;47;48;51;54;55;57;59;60;61;63;64;65;68;70;72;74;75;76;77;81;83;85;87;90;91;93;96;97;100,100
A0A7I7Q331,0.5192307692307693,3;4;5;9;10;11;14;15;16;17;18;19;21;22;27;28;30;31;35;36;37;39;41;43;44;49;52,52,2.3292341768741607,1.1119922611376134,0.85,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;30;31;32;33;34;36;38;39;41;43;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;73;74;75;76;77;78;81;82;83;84;85;86;87;88;90;91;92;94;95;96;99;100,100
A0A7I7X9D1,0.0,,37,2.882419499158859,1.3189161909848695,0.0,,100
A0A7W8BW88,0.25,5;10;16;17;23;24,24,3.100911855697632,1.1543573538204388,0.81,1;3;4;5;6;8;12;13;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31;32;34;35;38;39;41;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;59;60;61;63;65;66;67;68;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;95;96;98;99;100,100
A0A846XYC4,0.13636363636363635,15;16;20;22;27;41,44,2.5451046389341356,1.2688504024731513,0.92,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;81;82;83;84;85;86;87;88;89;91;92;93;95;96;97;100,100
A0A927MND6,0.5625,3;4;5;7;8;9;10;12;13;15;17;18;20;22;24;25;27;31,32,2.700090959072113,1.0955304210635863,0.86,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20;21;22;24;25;26;27;28;29;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;47;48;49;50;52;53;54;56;58;59;60;61;62;63;64;65;67;68;69;70;71;72;74;75;76;78;79;80;82;83;85;86;87;88;89;91;92;93;94;95;96;97;98;99,100
A0A9Y2IBK6,0.0967741935483871,5;8;28,31,2.8536179518699645,1.2262532843531213,0.06,50;74;79;92;93;100,100
E5XP76,0.6153846153846154,2;3;5;7;9;10;12;13;14;16;18;19;22;23;24;26;27;28;31;32;34;35;36;37,39,2.7201156222820284,1.22520408585413,0.85,1;2;3;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;29;30;32;33;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;50;51;52;53;55;56;57;58;59;61;62;63;65;67;69;70;72;73;74;75;76;77;78;79;80;82;83;84;85;86;87;89;90;91;92;93;94;95;96;97;98;99;100,100
K0EPZ9,0.0,,3,3.640267606973648,0.8464254777572019,0.0,,100
K0EY54,0.4857142857142857,2;3;4;6;7;12;13;14;15;20;21;25;26;27;29;31;35,35,2.7032338309288027,1.0802427306134876,0.92,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;74;75;76;77;78;79;80;81;82;85;86;87;88;89;90;92;93;94;95;96;98;99;100,100
