file,cut,rmsd
carA_A0A1S1M770.pdb,633,0.547
carA_W7J139.pdb,621,1.45
carA_A0A934NT38.pdb,611,1.483
carA_A0A7W8BW88.pdb,631,1.526
carA_A0A0J6VW20.pdb,619,1.551
carA_A0A318K9K9.pdb,622,1.553
carA_K0EY54.pdb,604,1.56
carA_A0A9X3BRH0.pdb,626,1.571
carA_A0A1W9ZSJ9.pdb,627,1.578
carA_A0A846XYC4.pdb,622,1.586
carA_V5XIA1.pdb,621,1.612
carA_A0A1G4V447.pdb,622,1.625
carA_A0A7U9Q384.pdb,629,1.628
carA_A0A401VU81.pdb,643,1.639
carA_A0A117I9B3.pdb,624,1.698
carA_E5XUS9.pdb,596,1.713
carA_A0A849CGR7.pdb,607,1.729
carA_A0A7H0I6F1.pdb,621,1.754
carA_A0A1I0U7E5.pdb,604,1.76
carA_A0A401YST3.pdb,636,1.785
carA_A0AB73U7U3.pdb,633,1.802
carA_A0A4V3I141.pdb,633,1.834
carA_D6Z860.pdb,639,1.844
carA_A0A4R8R2S8.pdb,630,1.857
carA_A0A1A3U7T4.pdb,630,1.859
carA_A0A1Y0C5T9.pdb,639,1.869
carA_A0AB73N8J1.pdb,633,1.871
carA_A0A9Q7SI49.pdb,630,1.873
carA_A0A829PKA2.pdb,630,1.885
carA_A0A4R8S1E2.pdb,633,1.919
carA_A0A544W498.pdb,626,1.922
carA_A0AB33AHW7.pdb,630,1.927
carA_A0A0B1ZIQ0.pdb,589,1.927
carA_A0A1E7JQU2.pdb,611,1.931
carA_A0A7I7X9D1.pdb,639,1.936
carA_A0A1X0J5R4.pdb,617,1.939
carA_A0A1Z4F4H3.pdb,633,1.945
carA_A0A1A2P0A6.pdb,629,1.955
carA_A0A179VCR2.pdb,630,1.955
carA_A0ABF7PG24.pdb,633,1.975
carA_A0A7I9Z5A6.pdb,628,1.975
carA_A0A1X0INU7.pdb,631,1.978
carA_A0A024JZE3.pdb,626,1.99
carA_A0A1S1LSR7.pdb,633,1.991
carA_A0AB33TCW4.pdb,630,1.991
carA_A0A3A4K4S5.pdb,600,1.993
carA_A0A7G8PBZ5.pdb,622,1.996
carA_A0A1X1XQZ1.pdb,617,1.996
carA_A0A373A3G8.pdb,613,2.0
carA_A0A829QKT7.pdb,630,2.003
carA_A0A4R8SIE9.pdb,633,2.004
carA_A0A927JBF8.pdb,596,2.009
carA_A0A829HQL8.pdb,630,2.023
carA_A0AAW5SKH5.pdb,622,2.023
carA_A0A100W5I0.pdb,625,2.025
carA_A0A1X1RMT2.pdb,627,2.028
carA_A0A2U3P697.pdb,640,2.035
carA_A0AAX1JEG7.pdb,628,2.047
carA_A0A5N0EJT8.pdb,622,2.048
carA_A0A318JYA7.pdb,624,2.051
carA_A0A1A0VEQ6.pdb,632,2.055
carA_Q7D6X4.pdb,618,2.068
carA_A0AAE4VIV1.pdb,617,2.075
carA_A0A9Y2N0A1.pdb,625,2.08
carA_A0A378T283.pdb,615,2.081
carA_A0A917RUF6.pdb,644,2.086
carA_A0A7V8RYM6.pdb,630,2.088
carA_A0A2K4Y436.pdb,640,2.089
carA_A0A1T5FV39.pdb,602,2.089
carA_A0A0J8TXD9.pdb,615,2.1
carA_K0V6S4.pdb,617,2.1
carA_A0A0H5RMP7.pdb,617,2.101
carA_A0A927EY10.pdb,582,2.102
carA_A0A1E7L3V6.pdb,627,2.104
carA_A0A4R5PD40.pdb,630,2.104
carA_A0A848KDK6.pdb,609,2.111
carA_A0A1E5P3C7.pdb,626,2.116
carA_A0A7Z0IKF1.pdb,620,2.117
carA_A0A1X2L0G7.pdb,625,2.117
carA_A0A1E3S739.pdb,621,2.123
carA_A0AA37PNY0.pdb,640,2.126
carA_A0ABD6QL27.pdb,617,2.126
carA_A0A0U0ZG49.pdb,632,2.129
carA_A0A024JSK2.pdb,640,2.131
