uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A064CG00	0.4411764705882353	2;4;5;8;11;12;15;17;20;21;23;25;28;30;33	34	2.966543301343918	1.3204827784117483	0.68	1;2;3;6;8;9;10;11;12;13;14;15;18;19;21;22;23;24;26;27;28;29;31;32;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;52;53;55;59;60;61;63;66;67;72;74;75;76;77;78;79;83;84;85;87;90;91;93;94;95;97;98;99;100
A0A0H3MCY6	0.2857142857142857	1;4;9;13;15;19;20;30;31;32;33;34;37;46;52;56	56	2.2935621088743208	1.2979348173905332	0.78	1;3;4;5;6;7;11;12;13;16;18;20;21;22;23;24;25;26;27;28;29;30;31;33;34;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;53;54;56;57;58;59;60;61;62;63;64;67;68;69;70;71;72;73;74;75;76;78;80;81;82;84;86;87;88;89;90;91;92;93;94;96;98;100
A0A0I9Z3I8	0.3695652173913043	1;2;3;4;10;11;14;18;21;22;25;28;29;32;34;36;40	46	2.37343212723732	1.138222634770501	0.96	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
A0A0J6VZP7	0.3333333333333333	2;10;12;14;16;22;23;25;27;29;34;35;37;39	42	2.5718139493465424	1.1339637381136272	0.56	2;3;6;9;11;12;16;17;20;21;22;23;24;30;31;34;38;39;40;41;42;44;45;46;47;48;49;50;51;52;54;58;60;61;63;65;66;67;69;70;71;73;75;76;77;79;80;81;83;88;89;91;93;96;98;99
A0A0U0ZG49	0.4857142857142857	4;5;8;9;10;11;14;17;19;20;22;23;26;27;30;34;35	35	2.753320336341858	1.057326085215814	0.75	1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;26;27;31;32;34;36;37;38;43;44;45;46;47;49;51;53;54;56;57;58;59;61;62;63;65;67;68;69;72;73;74;75;76;77;78;79;82;83;84;85;86;87;88;89;91;92;94;96;97;98;99;100
A0A0U1DUP4	0.3333333333333333	1;5;8;13;15;19;21;23;24;25;32;37;39	39	2.515240089893341	1.0165836431360071	0.51	2;3;5;6;7;9;12;14;15;19;21;22;24;25;26;34;35;36;37;39;40;41;42;43;46;48;51;53;54;55;56;58;59;61;62;63;64;65;67;70;71;78;79;84;85;90;91;94;96;99;100
A0A0U1E1C0	0.3090909090909091	7;9;11;17;25;26;29;30;32;33;36;37;44;45;46;47;48	55	2.2906546992063523	1.1832733324165998	0.6	1;3;4;5;6;8;9;10;12;13;14;15;17;18;21;22;23;24;25;27;28;29;34;35;37;39;40;41;42;44;46;48;49;50;54;55;57;58;59;60;61;64;65;67;68;70;71;74;76;79;80;82;86;87;89;93;95;97;98;99
A0A179V396	0.4166666666666667	4;6;9;11;12;13;14;15;17;18;19;24;29;32;34	36	2.6832318830490114	1.0720757373989396	0.64	1;2;3;5;6;7;9;11;13;15;16;17;19;21;22;24;25;27;29;30;32;34;35;37;38;42;45;47;48;49;50;51;52;53;54;55;56;57;58;59;60;62;63;65;66;67;69;71;72;73;74;75;77;81;82;84;87;88;89;91;93;95;96;98
A0A1A2DP38	0.5454545454545454	1;2;7;10;11;13;15;16;19;21;22;24;26;27;30;31;32;33;36;39;40;41;42;43	44	2.604511832594872	1.2484179290539774	0.77	1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19;21;22;24;25;26;27;28;29;30;31;32;33;34;36;37;38;40;41;42;43;44;45;46;47;50;52;53;54;55;56;57;58;59;60;61;62;65;66;67;69;70;71;72;73;76;77;80;81;82;83;86;87;88;89;92;94;95;97;98;100
A0A1A2Z8H6	0.3666666666666666	1;2;4;7;11;12;14;15;18;24;26	30	2.8065779495239256	0.982404030087724	0.52	1;3;4;8;9;10;12;15;16;18;20;22;23;24;25;26;28;33;35;38;41;42;43;46;47;49;50;51;54;57;60;63;65;66;68;69;73;74;75;76;77;79;80;84;85;86;87;88;91;92;93;96
