entry,nac_fraction_holo,nac_holo_idxs,n_confident_holo,prmsd_mean,prmsd_std,nac_fraction_apo,nac_apo_idxs,n_confident_apo
A0A010YLP6,0.4375,1;3;4;5;8;10;11;13;14;16;18;20;30;32;34;35;37;38;39;40;41,48,2.5989089715480804,1.1713203364642457,0.32,3;4;5;7;8;10;12;16;18;19;27;31;45;46;49;50;55;56;58;59;62;67;69;71;74;75;76;78;89;93;96;99,100
A0A024JZE3,0.044444444444444446,11;20,45,2.3923417580127717,1.1999054057875485,0.22,8;11;15;27;34;36;44;51;56;59;61;63;67;68;73;82;86;88;89;92;94;98,100
A0A024JZE8,0.26666666666666666,1;5;8;10;11;15;27;28;30;37;39;41,45,2.637136089801788,1.484345130833279,0.16,5;8;10;21;54;57;59;63;64;70;83;84;86;88;90;96,100
A0A045K2P5,0.21153846153846154,5;6;13;16;18;20;23;28;30;38;40,52,2.2986247408390046,1.1930629571786449,0.24,7;13;17;19;21;25;34;37;40;41;42;47;54;64;78;86;87;88;89;90;91;97;99;100,100
A0A051U3G5,0.16129032258064516,2;6;12;22;23,31,2.989460026025772,1.1237848413052702,0.26,4;10;19;21;28;39;41;42;43;51;54;69;70;73;74;75;76;77;80;82;86;88;90;91;94;99,100
A0A064CG00,0.6470588235294118,2;3;4;5;7;8;11;12;13;14;15;16;17;18;20;21;23;25;28;29;30;33,34,2.966543301343918,1.3204827784117485,0.68,1;2;3;6;8;9;10;11;12;13;14;15;18;19;21;22;23;24;26;27;28;29;31;32;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;52;53;55;59;60;61;63;66;67;72;74;75;76;77;78;79;83;84;85;87;90;91;93;94;95;97;98;99;100,100
A0A0B8NM02,0.3333333333333333,5;6;8;10;12;16;17;18;20;21;23;33;35;39,42,2.655516268014908,1.1321808923729693,0.26,3;4;7;18;26;30;32;35;37;42;47;48;49;50;51;58;68;69;74;75;79;85;89;92;98;99,100
A0A0D1L7Y1,0.3870967741935484,2;3;4;5;6;8;11;13;15;23;28;30,31,2.961380043029785,1.2405891763618473,0.31,3;4;6;8;13;18;19;21;28;29;33;40;42;52;53;56;57;58;59;60;65;68;74;79;83;86;88;89;91;98;100,100
A0A0D1LMF4,0.09090909090909091,11;23;28;47;49,55,2.451004250049591,1.2927220683459577,0.04,14;15;16;25,100
A0A0E4GX90,0.1891891891891892,9;22;26;27;32;34;37,37,2.7954652059078215,1.0598750600701685,0.05,5;31;49;91;97,100
A0A0F4ES51,0.3333333333333333,2;4;8;9;16;17;27;28;30;34;35;38;39;40,42,2.5504933226108553,1.0804826511971923,0.84,1;2;3;4;5;6;7;9;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35;36;37;40;41;42;43;44;45;46;48;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;80;81;82;83;84;86;87;90;92;93;95;98;99;100,100
A0A0F5MSZ2,0.06896551724137931,6;20;36;50,58,2.1355620861053466,1.1349711911310616,0.02,41;46,100
A0A0F5NA60,0.5714285714285714,4;6;8;10;12;13;14;15;17;18;19;20;21;22;23;24;25;26;29;30;31;33;37;39,42,2.5587048923969267,1.2009246822997526,0.73,1;2;3;4;5;6;7;9;11;12;13;15;16;18;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;43;46;47;48;50;51;53;54;55;57;59;60;61;62;63;65;66;67;68;71;73;75;77;78;79;80;81;82;83;85;86;87;88;92;93;97;99;100,100
A0A0H2ZUI5,0.2647058823529412,2;5;8;9;10;11;12;17;27,34,2.786015567779541,1.0126745018111025,0.3,3;5;7;9;11;12;13;17;20;22;24;27;33;41;43;46;47;56;58;63;65;67;68;71;73;75;81;83;96;97,100
A0A0H3MCY6,0.5178571428571429,1;2;4;5;9;10;13;14;15;19;20;21;26;27;28;29;30;31;32;33;34;36;37;40;44;45;46;52;56,56,2.2935621088743208,1.2979348173905332,0.78,1;3;4;5;6;7;11;12;13;16;18;20;21;22;23;24;25;26;27;28;29;30;31;33;34;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;53;54;56;57;58;59;60;61;62;63;64;67;68;69;70;71;72;73;74;75;76;78;80;81;82;84;86;87;88;89;90;91;92;93;94;96;98;100,100
A0A0H5BB76,0.3055555555555556,4;12;17;18;22;24;26;30;31;32;34,36,2.9033914685249327,1.2795667686762304,0.1,40;41;48;52;58;68;76;78;80;91,100
A0A0H5NNV9,0.16,2;4;11;13;17;21;22;37,50,2.4455902671813963,1.28135214231101,0.08,35;50;58;65;72;75;86;92,100
A0A0H5RL48,0.42857142857142855,6;7;8;9;11;13;19;20;21;26;27;28;29;31;33,35,2.7115139925479887,1.045999155520996,0.81,1;2;3;4;5;6;7;8;9;10;11;12;15;16;17;19;20;21;22;24;25;26;27;29;30;31;32;33;34;36;38;39;40;41;43;44;45;46;47;48;49;50;51;52;53;54;56;57;59;60;62;63;64;65;66;67;68;69;71;72;73;75;76;77;78;80;81;82;83;84;86;87;88;89;91;93;94;95;98;99;100,100
A0A0I9Z3I8,0.6521739130434783,1;2;3;4;5;8;10;11;12;13;14;16;17;18;19;21;22;25;26;28;29;30;32;33;34;35;36;39;40;41,46,2.37343212723732,1.138222634770501,0.96,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100,100
A0A0J6VZP7,0.5476190476190477,2;3;8;10;12;13;14;16;18;21;22;23;25;26;27;28;29;30;32;34;35;37;39,42,2.5718139493465424,1.1339637381136272,0.56,2;3;6;9;11;12;16;17;20;21;22;23;24;30;31;34;38;39;40;41;42;44;45;46;47;48;49;50;51;52;54;58;60;61;63;65;66;67;69;70;71;73;75;76;77;79;80;81;83;88;89;91;93;96;98;99,100
A0A0J6WR15,0.15789473684210525,9;17;18;22;24;37,38,2.592700414657593,1.0269811197412384,0.06,2;10;63;78;86;94,100
