file,entry,rmsd
A0A4R8SIE9.pdb,A0A4R8SIE9,0.302
A0AB73N8J1.pdb,A0AB73N8J1,0.304
A0AB73U7U3.pdb,A0AB73U7U3,0.304
A0A1S1M770.pdb,A0A1S1M770,0.304
A0A4R8S1E2.pdb,A0A4R8S1E2,0.308
A0AB33AHW7.pdb,A0AB33AHW7,0.315
A0A4V3I141.pdb,A0A4V3I141,0.315
A0A1X0INU7.pdb,A0A1X0INU7,0.319
A0AB38D5A4.pdb,A0AB38D5A4,0.319
A0A1S1LSR7.pdb,A0A1S1LSR7,0.321
A0A1T5XJ36.pdb,A0A1T5XJ36,0.321
A0A4R8R2S8.pdb,A0A4R8R2S8,0.323
A0A4R5PD40.pdb,A0A4R5PD40,0.323
A0A1S1LBB7.pdb,A0A1S1LBB7,0.325
A0A829HQL8.pdb,A0A829HQL8,0.333
A0ABF7PG24.pdb,A0ABF7PG24,0.336
A0AB74FGQ8.pdb,A0AB74FGQ8,0.337
A0A829QKT7.pdb,A0A829QKT7,0.337
A0A829PKA2.pdb,A0A829PKA2,0.337
A0A0U0ZLV7.pdb,A0A0U0ZLV7,0.338
A0A9Q7SI49.pdb,A0A9Q7SI49,0.338
A0ABX3C2C3.pdb,A0ABX3C2C3,0.339
A0A179VCR2.pdb,A0A179VCR2,0.351
A0A7V8RYM6.pdb,A0A7V8RYM6,0.362
A0AB33TCW4.pdb,A0AB33TCW4,0.363
A0A1Z4F4H3.pdb,A0A1Z4F4H3,0.37
A0A1X1XQZ1.pdb,A0A1X1XQZ1,0.689
A0A7I7TD11.pdb,A0A7I7TD11,0.696
A0A7I7QP40.pdb,A0A7I7QP40,0.699
A0A7Y9XV54.pdb,A0A7Y9XV54,0.708
A0ABM7I197.pdb,A0ABM7I197,0.713
A0A7Z7ILT5.pdb,A0A7Z7ILT5,0.717
A0A7I7SXJ5.pdb,A0A7I7SXJ5,0.723
A0ABV9A5N2.pdb,A0ABV9A5N2,0.729
A0A064CG00.pdb,A0A064CG00,0.729
A0ABR4YVZ6.pdb,A0ABR4YVZ6,0.733
A0A2S6AAE1.pdb,A0A2S6AAE1,0.734
A0A1A3U111.pdb,A0A1A3U111,0.736
A0A7X6MKH2.pdb,A0A7X6MKH2,0.739
A0AAD1HL52.pdb,A0AAD1HL52,0.739
A0ABT1M7B6.pdb,A0ABT1M7B6,0.739
A0ABW9L2Z5.pdb,A0ABW9L2Z5,0.745
A0A1H6L3W8.pdb,A0A1H6L3W8,0.746
A0A7I7X9S1.pdb,A0A7I7X9S1,0.749
A0A5N5VEC4.pdb,A0A5N5VEC4,0.749
A0A1X2F2L6.pdb,A0A1X2F2L6,0.75
A0A2G8B7A9.pdb,A0A2G8B7A9,0.751
K0V6S4.pdb,K0V6S4,0.754
Q7D6X4.pdb,Q7D6X4,0.755
A0A329LAU5.pdb,A0A329LAU5,0.755
A0A045K2P5.pdb,A0A045K2P5,0.755
A0A231H7W5.pdb,A0A231H7W5,0.756
A0A3M2L4P9.pdb,A0A3M2L4P9,0.756
A0A1Y0CFN4.pdb,A0A1Y0CFN4,0.756
A0A1X0J5R4.pdb,A0A1X0J5R4,0.757
A0A1E7JQU2.pdb,A0A1E7JQU2,0.76
A0ABY3VMA4.pdb,A0ABY3VMA4,0.761
A0A1E7L3V6.pdb,A0A1E7L3V6,0.762
A0A378UBH7.pdb,A0A378UBH7,0.762
A0A5C7YBR3.pdb,A0A5C7YBR3,0.763
A0ABQ1V3W2.pdb,A0ABQ1V3W2,0.763
A0A7I7RZ78.pdb,A0A7I7RZ78,0.764
A0ABT8HAL2.pdb,A0ABT8HAL2,0.765
A0A850PMX4.pdb,A0A850PMX4,0.766
A0A544W498.pdb,A0A544W498,0.766
A0A1A2DP38.pdb,A0A1A2DP38,0.767
A0A5S9NMT1.pdb,A0A5S9NMT1,0.768
A0AAI8TZQ7.pdb,A0AAI8TZQ7,0.772
A0ABT6KTL6.pdb,A0ABT6KTL6,0.774
A0AAJ3NLH7.pdb,A0AAJ3NLH7,0.775
A0AAE4RDM5.pdb,A0AAE4RDM5,0.775
A0A1A6BMZ1.pdb,A0A1A6BMZ1,0.777
A0A1X2FK51.pdb,A0A1X2FK51,0.777
A0A2I2L057.pdb,A0A2I2L057,0.778
A0ABU5XGE3.pdb,A0ABU5XGE3,0.779
K0EPZ9.pdb,K0EPZ9,0.779
A0ABS6B304.pdb,A0ABS6B304,0.78
A0A1W9YPH5.pdb,A0A1W9YPH5,0.784
A0A6H0S7C9.pdb,A0A6H0S7C9,0.787
A0A1W9Z9K6.pdb,A0A1W9Z9K6,0.789
A0ABS6B2B6.pdb,A0ABS6B2B6,0.79
A0ABM9LWN3.pdb,A0ABM9LWN3,0.791
A0ABT6GXB0.pdb,A0ABT6GXB0,0.792
A0ABM7K1P0.pdb,A0ABM7K1P0,0.793
A0A1X1TV41.pdb,A0A1X1TV41,0.795
A0A1X2DGR4.pdb,A0A1X2DGR4,0.796
A0A9X3BRH0.pdb,A0A9X3BRH0,0.797
A0A1W9ZC84.pdb,A0A1W9ZC84,0.797
A0ABV6V4L7.pdb,A0ABV6V4L7,0.797
A0ABS4ZW31.pdb,A0ABS4ZW31,0.799
A0A1X1Y0D8.pdb,A0A1X1Y0D8,0.8
A0A1E3S739.pdb,A0A1E3S739,0.8
A0A7K0D4H1.pdb,A0A7K0D4H1,0.8
A0ABN6AP09.pdb,A0ABN6AP09,0.8
A0A9X2YIQ0.pdb,A0A9X2YIQ0,0.801
A0AAW5SKH5.pdb,A0AAW5SKH5,0.802
A0ABW6S3H3.pdb,A0ABW6S3H3,0.803
A0A653EJG9.pdb,A0A653EJG9,0.803
A0ABM7SX73.pdb,A0ABM7SX73,0.803
A0A829QG83.pdb,A0A829QG83,0.806
A0A255DTC1.pdb,A0A255DTC1,0.806
A0AB74FEB0.pdb,A0AB74FEB0,0.806
A0A918CWM2.pdb,A0A918CWM2,0.807
A0ABV3VN90.pdb,A0ABV3VN90,0.807
A0AAX2ZQB8.pdb,A0AAX2ZQB8,0.808
A0A7I9YMY6.pdb,A0A7I9YMY6,0.809
A0A100W5H8.pdb,A0A100W5H8,0.809
A0A1X2EPB4.pdb,A0A1X2EPB4,0.809
J9WJC3.pdb,J9WJC3,0.812
A0A9W4AZG8.pdb,A0A9W4AZG8,0.813
A0A7X5R533.pdb,A0A7X5R533,0.813
A0A1A3KI76.pdb,A0A1A3KI76,0.813
A0A1X1RT79.pdb,A0A1X1RT79,0.814
A0A0K0XB28.pdb,A0A0K0XB28,0.814
A0AAD1H459.pdb,A0AAD1H459,0.815
A0A1X0FY05.pdb,A0A1X0FY05,0.815
A0A0D2EWW5.pdb,A0A0D2EWW5,0.815
A0A4R5X5Y0.pdb,A0A4R5X5Y0,0.816
A0A1A0MY20.pdb,A0A1A0MY20,0.816
A0A1X0YC10.pdb,A0A1X0YC10,0.816
A0A1Z4EGK3.pdb,A0A1Z4EGK3,0.816
A0A2U3P0N3.pdb,A0A2U3P0N3,0.817
A0A9P3UYS2.pdb,A0A9P3UYS2,0.817
A0A1A0RF29.pdb,A0A1A0RF29,0.817
A0A2K4Y9B3.pdb,A0A2K4Y9B3,0.818
A0AA42BYT1.pdb,A0AA42BYT1,0.818
A0ABU5XT42.pdb,A0ABU5XT42,0.818
A0A378T271.pdb,A0A378T271,0.818
A0A0J6Z0M9.pdb,A0A0J6Z0M9,0.818
A0A117IEQ2.pdb,A0A117IEQ2,0.819
A0A100W5I0.pdb,A0A100W5I0,0.819
A0AB72XQA2.pdb,A0AB72XQA2,0.819
W9AZM3.pdb,W9AZM3,0.819
A0A7D6E1I6.pdb,A0A7D6E1I6,0.82
A0A1A2SKN5.pdb,A0A1A2SKN5,0.821
A0ABQ1C2G9.pdb,A0ABQ1C2G9,0.821
A1T887.pdb,A1T887,0.822
A0ABY3TX45.pdb,A0ABY3TX45,0.824
A0A6N4URH6.pdb,A0A6N4URH6,0.824
B2HE95.pdb,B2HE95,0.824
A0A1A0RF23.pdb,A0A1A0RF23,0.825
A0ABR4ZAR7.pdb,A0ABR4ZAR7,0.826
A0A1S1MVI3.pdb,A0A1S1MVI3,0.826
A0A829PS24.pdb,A0A829PS24,0.827
A0ABW6P5Z0.pdb,A0ABW6P5Z0,0.827
A0A1A3P195.pdb,A0A1A3P195,0.827
A0AAV2WH99.pdb,A0AAV2WH99,0.827
A0A1X1SXX1.pdb,A0A1X1SXX1,0.827
A0AAW5THR0.pdb,A0AAW5THR0,0.828
A0A2A2ZGB2.pdb,A0A2A2ZGB2,0.829
A0AAD1IMS5.pdb,A0AAD1IMS5,0.83
A0A7I7R3J2.pdb,A0A7I7R3J2,0.83
A0ABX8VN38.pdb,A0ABX8VN38,0.83
A0A1S1KKY6.pdb,A0A1S1KKY6,0.831
A0A1A1WCB1.pdb,A0A1A1WCB1,0.831
A0A7I9YES0.pdb,A0A7I9YES0,0.831
A0A0H3MCY6.pdb,A0A0H3MCY6,0.832
A0A1R3Y1N0.pdb,A0A1R3Y1N0,0.832
A0A7I7Q331.pdb,A0A7I7Q331,0.832
A0ABV2WK41.pdb,A0ABV2WK41,0.833
A0A0N9XFV2.pdb,A0A0N9XFV2,0.833
A0A5N0E0J5.pdb,A0A5N0E0J5,0.833
A0A1A3KJV4.pdb,A0A1A3KJV4,0.835
A0ABT4HB77.pdb,A0ABT4HB77,0.835
A0A0J6WR15.pdb,A0A0J6WR15,0.835
A0A6N4W768.pdb,A0A6N4W768,0.835
A0A0J6VZP7.pdb,A0A0J6VZP7,0.835
A0A132PRD2.pdb,A0A132PRD2,0.835
A0ABS6HX69.pdb,A0ABS6HX69,0.836
A0A7I7NVN0.pdb,A0A7I7NVN0,0.837
A0A6G9XS88.pdb,A0A6G9XS88,0.837
A0A0K0XCM7.pdb,A0A0K0XCM7,0.837
A0ABT6KSA3.pdb,A0ABT6KSA3,0.838
A0A9N7QL79.pdb,A0A9N7QL79,0.838
A0A329K2Y4.pdb,A0A329K2Y4,0.838
A0A9X7WHR6.pdb,A0A9X7WHR6,0.839
A0A1X2LPX9.pdb,A0A1X2LPX9,0.839
A0AB73LM64.pdb,A0AB73LM64,0.842
A0AAE4VIV1.pdb,A0AAE4VIV1,0.842
A0A0J8TWL2.pdb,A0A0J8TWL2,0.842
K0UL90.pdb,K0UL90,0.843
A0A1A3P7V6.pdb,A0A1A3P7V6,0.844
A0A8H2PIF1.pdb,A0A8H2PIF1,0.844
A0AAW5TB97.pdb,A0AAW5TB97,0.844
A0ACD1FAL4.pdb,A0ACD1FAL4,0.844
A0A7I7RUI0.pdb,A0A7I7RUI0,0.844
A0ABD6QL27.pdb,A0ABD6QL27,0.844
A0A375YKM9.pdb,A0A375YKM9,0.845
A0A1X2L0G7.pdb,A0A1X2L0G7,0.845
A0ABS6HWS9.pdb,A0ABS6HWS9,0.845
A0A1A3C4T0.pdb,A0A1A3C4T0,0.845
A0A1A0V6S5.pdb,A0A1A0V6S5,0.847
