entry,nac_fraction_holo,nac_holo_idxs,n_confident_holo,prmsd_mean,prmsd_std,nac_fraction_apo,nac_apo_idxs,n_confident_apo
A0A064CG00,0.6470588235294118,2;3;4;5;7;8;11;12;13;14;15;16;17;18;20;21;23;25;28;29;30;33,34,2.966543301343918,1.3204827784117483,0.68,1;2;3;6;8;9;10;11;12;13;14;15;18;19;21;22;23;24;26;27;28;29;31;32;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;52;53;55;59;60;61;63;66;67;72;74;75;76;77;78;79;83;84;85;87;90;91;93;94;95;97;98;99;100,100
A0A0F5NA60,0.5714285714285714,4;6;8;10;12;13;14;15;17;18;19;20;21;22;23;24;25;26;29;30;31;33;37;39,42,2.5587048923969267,1.2009246822997526,0.73,1;2;3;4;5;6;7;9;11;12;13;15;16;18;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;43;46;47;48;50;51;53;54;55;57;59;60;61;62;63;65;66;67;68;71;73;75;77;78;79;80;81;82;83;85;86;87;88;92;93;97;99;100,100
A0A0H3MCY6,0.5178571428571429,1;2;4;5;9;10;13;14;15;19;20;21;26;27;28;29;30;31;32;33;34;36;37;40;44;45;46;52;56,56,2.2935621088743208,1.2979348173905332,0.78,1;3;4;5;6;7;11;12;13;16;18;20;21;22;23;24;25;26;27;28;29;30;31;33;34;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;53;54;56;57;58;59;60;61;62;63;64;67;68;69;70;71;72;73;74;75;76;78;80;81;82;84;86;87;88;89;90;91;92;93;94;96;98;100,100
A0A0I9Z3I8,0.6521739130434783,1;2;3;4;5;8;10;11;12;13;14;16;17;18;19;21;22;25;26;28;29;30;32;33;34;35;36;39;40;41,46,2.37343212723732,1.138222634770501,0.96,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100,100
A0A0J6VZP7,0.5476190476190477,2;3;8;10;12;13;14;16;18;21;22;23;25;26;27;28;29;30;32;34;35;37;39,42,2.5718139493465424,1.1339637381136272,0.56,2;3;6;9;11;12;16;17;20;21;22;23;24;30;31;34;38;39;40;41;42;44;45;46;47;48;49;50;51;52;54;58;60;61;63;65;66;67;69;70;71;73;75;76;77;79;80;81;83;88;89;91;93;96;98;99,100
A0A0J8TWL2,0.4871794871794871,4;5;7;8;9;10;12;17;18;19;21;23;26;31;32;33;34;35;39,39,2.7293228697776795,1.1298907838309993,0.59,1;2;4;5;6;7;8;9;10;11;13;15;16;17;18;19;22;24;25;26;27;28;29;31;32;34;35;36;37;39;40;41;47;49;53;55;57;58;59;60;61;63;65;66;67;68;70;72;73;74;77;84;85;87;88;91;93;95;100,100
A0A0N9YG13,0.5,3;5;6;7;9;10;15;16;17;18;21;22;25;27;28;30;31;32;34;35;37;41;45,46,2.474926776885986,1.0465785331884403,0.52,1;2;3;4;6;8;9;12;13;15;18;20;22;23;24;26;32;35;37;40;43;44;46;47;49;50;51;52;53;58;61;64;65;66;67;69;72;73;74;75;77;78;79;85;86;89;91;92;93;95;96;100,100
A0A0Q2RTZ0,0.4166666666666667,3;4;5;9;10;13;16;18;19;22;26;30;31;32;33;35;37;38;39;40;41;49;51;55;57,60,2.193865823149681,1.2437677939811471,0.54,1;2;5;6;7;8;9;10;12;13;14;15;21;23;24;26;28;29;30;31;32;35;36;37;38;40;41;42;45;49;51;54;55;58;63;64;67;70;71;72;74;76;78;79;83;85;88;89;90;92;93;95;99;100,100
A0A0U0ZG49,0.7142857142857143,1;2;4;5;8;9;10;11;13;14;16;17;19;20;21;22;23;25;26;27;30;31;33;34;35,35,2.753320336341858,1.057326085215814,0.76,1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;26;27;30;31;32;34;36;37;38;43;44;45;46;47;49;51;53;54;56;57;58;59;61;62;63;65;67;68;69;72;73;74;75;76;77;78;79;82;83;84;85;86;87;88;89;91;92;94;96;97;98;99;100,100
A0A0U1DUP4,0.5641025641025641,1;2;3;5;8;9;10;13;15;17;19;20;21;23;24;25;28;31;32;35;37;39,39,2.515240089893341,1.0165836431360071,0.51,2;3;5;6;7;9;12;14;15;19;21;22;24;25;26;34;35;36;37;39;40;41;42;43;46;48;51;53;54;55;56;58;59;61;62;63;64;65;67;70;71;78;79;84;85;90;91;94;96;99;100,100
