entry,nac_fraction_holo,nac_holo_idxs,n_confident_holo,prmsd_mean,prmsd_std,nac_fraction_apo,nac_apo_idxs,n_confident_apo
A0A010YLP6,0.6415094339622641,2;3;5;6;7;8;10;11;12;15;16;17;19;20;21;22;25;26;28;29;31;34;35;36;37;39;40;41;44;45;48;50;52;53,53,2.37836776971817,1.1398488945013858,0.48,1;3;6;7;9;12;15;18;19;20;21;22;23;24;25;26;29;30;34;35;37;40;43;45;47;49;50;54;56;58;59;60;61;62;66;67;69;70;71;72;73;74;82;83;88;95;96;97,100
A0A024JSK2,0.8214285714285714,1;2;3;4;6;7;8;9;10;11;12;13;14;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;36;37;38;39;41;42;43;45;46;47;49;50;51;52;55,56,2.2549235033988952,1.1390949580483694,0.59,1;2;3;5;6;7;8;9;10;12;13;14;15;20;21;22;24;26;27;28;33;36;37;38;39;41;43;44;45;47;49;50;51;52;53;54;55;56;57;59;60;61;62;63;64;70;71;75;76;80;81;84;86;87;88;93;94;96;99,100
A0A024JWI0,0.5652173913043478,1;2;3;4;7;9;10;12;13;15;16;17;18;20;21;22;23;24;27;31;32;37;39;40;43;45,46,2.6056738579273224,1.1000856635922922,0.73,2;3;4;7;8;9;11;13;14;15;16;17;18;20;21;22;23;24;25;26;28;29;30;31;32;33;36;37;38;39;40;42;43;44;45;46;49;50;51;53;54;55;57;58;59;63;65;66;67;69;70;74;75;76;77;79;80;82;83;84;85;86;88;89;90;91;92;95;96;97;98;99;100,100
A0A024JZE3,0.0,,28,2.9124496281147003,1.0796414355096895,0.0,,100
A0A024JZE8,0.25925925925925924,9;12;17;22;23;31;33;38;39;45;48;49;51;53,54,2.235566166639328,0.9506119073447596,0.26,2;8;18;20;22;27;30;31;32;34;35;37;47;51;52;53;54;57;58;62;66;72;78;90;91;95,100
A0A045K2P5,0.5714285714285714,1;5;8;11;12;14;15;17;18;19;21;25;27;28;29;30;31;32;33;34;36;37;39;43;44;45;46;47;49;50;53;55,56,2.34336879491806,1.1766837060573412,0.53,1;2;3;4;5;6;7;8;10;11;15;16;22;23;26;28;32;34;35;36;37;40;41;43;45;46;47;48;50;51;53;54;55;56;58;59;63;68;71;72;73;75;76;80;81;83;86;88;90;95;96;97;99,100
A0A051U3G5,0.025,1,40,2.6475839513540267,1.1799595039048512,0.03,5;82;87,100
A0A051UFG9,0.4444444444444444,3;6;7;14;15;16;18;19;20;21;22;32;33;34;35;36;37;41;42;43;44;45;49;53,54,2.371197947859764,1.1666651941172117,0.73,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;38;39;43;44;46;47;49;51;52;53;54;55;56;57;59;60;62;64;66;67;68;71;74;76;78;81;82;83;85;86;87;89;90;91;92;94;96;97,100
A0A064CG00,0.24390243902439024,9;12;16;17;25;30;31;34;37;41,41,2.7584893745183945,1.3812694068151443,0.3,2;5;13;15;21;23;28;31;35;36;40;42;44;50;52;60;63;67;68;69;73;76;78;80;83;88;89;95;97;99,100
A0A0B1ZH49,0.3220338983050847,3;6;8;9;14;15;16;17;18;21;22;23;24;25;26;36;40;48;58,59,2.2507128709554673,1.2127027760409939,0.23,2;4;5;16;31;33;34;36;43;44;49;52;53;59;60;67;69;77;80;89;95;97;98,100
