entry,nac_fraction_holo,nac_holo_idxs,n_confident_holo,prmsd_mean,prmsd_std,nac_fraction_apo,nac_apo_idxs,n_confident_apo
A0A010YLP6,0.35294117647058826,2;3;5;6;7;9;11;15;16;19;22;26;36;38;40;43;47;50,51,2.4097067093849183,1.1432419777790899,0.32,3;4;5;7;8;10;12;16;18;19;27;31;45;46;49;50;55;56;58;59;62;67;69;71;74;75;76;78;89;93;96;99,100
A0A024JSK2,0.05263157894736842,15,19,3.055211184024811,1.0794696455267443,0.83,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;25;26;27;28;29;31;32;33;34;35;37;38;39;40;42;43;45;46;48;49;52;53;54;55;56;57;58;59;61;62;63;64;65;67;68;71;72;73;74;75;76;79;80;81;82;83;84;85;86;87;88;89;90;92;93;94;95;96;97;99;100,100
A0A024JWI0,0.08695652173913043,7;19,23,2.7518966472148896,0.9431921152771795,0.74,1;2;4;5;6;7;8;9;10;11;13;14;15;16;17;18;19;21;22;23;24;25;28;29;32;34;35;36;37;38;40;41;42;43;44;45;47;48;49;50;51;52;53;54;55;56;57;58;59;61;62;63;65;66;67;69;70;71;72;74;75;76;77;79;80;81;84;86;90;93;96;98;99;100,100
A0A024JZE3,0.16363636363636364,11;18;26;30;34;37;45;51;55,55,2.3922253012657166,1.165048540476019,0.22,8;11;15;27;34;36;44;51;56;59;61;63;67;68;73;82;86;88;89;92;94;98,100
A0A024JZE8,0.2727272727272727,1;3;4;11;14;19;28;29;42;43;44;50;52;53;54;55;57;60,66,2.0193569505214692,1.2265249810485237,0.16,5;8;10;21;54;57;59;63;64;70;83;84;86;88;90;96,100
A0A045K2P5,0.16363636363636364,7;15;31;32;36;39;45;54;55,55,2.2034770065546034,1.3274502942905073,0.23,7;13;17;19;21;25;34;37;40;41;42;47;64;78;86;87;88;89;90;91;97;99;100,100
A0A051U3G5,0.2236842105263158,1;7;12;19;20;21;25;26;27;35;42;43;46;49;54;60;63,76,1.7061151081323624,0.8877098949013248,0.07,4;69;77;80;82;88;91,100
A0A051UFG9,0.0,,20,3.223714807033539,1.2366233013099313,0.0,,100
A0A064CG00,0.5362318840579711,3;9;10;13;16;17;19;23;24;25;28;29;31;32;36;37;38;40;41;43;44;45;46;47;48;50;51;52;54;56;57;58;61;64;65;67;69,69,1.983791418671608,1.0977467850794242,0.68,1;2;3;6;8;9;10;11;12;13;14;15;18;19;21;22;23;24;26;27;28;29;31;32;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;52;53;55;59;60;61;63;66;67;72;74;75;76;77;78;79;83;84;85;87;90;91;93;94;95;97;98;99;100,100
A0A0B1ZH49,0.3333333333333333,1;4;11;16;18;20;21;24,24,2.7795657670497893,0.9972267490477595,0.89,2;3;4;6;7;8;9;10;11;12;13;15;16;17;18;19;20;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;68;69;70;71;72;73;74;75;76;77;78;79;81;82;83;84;85;87;89;90;91;92;93;94;95;96;99;100,100
A0A0B1ZIQ0,0.4262295081967213,1;2;4;5;7;13;16;17;19;22;23;25;26;27;28;30;37;38;40;41;42;46;49;53;57;61,61,2.125819736123085,1.2297965471595518,0.45,1;3;5;6;8;9;10;11;12;14;15;24;27;28;30;33;34;44;46;47;50;54;55;60;62;63;64;65;67;68;69;71;73;74;75;77;78;82;83;85;86;89;90;91;100,100
A0A0B8NM02,0.30985915492957744,3;8;11;12;15;19;23;24;27;30;31;34;35;39;40;46;49;53;60;66;67;71,71,1.9740766555070877,1.0260954303715029,0.26,3;4;7;18;26;30;32;35;37;42;47;48;49;50;51;58;68;69;74;75;79;85;89;92;98;99,100
A0A0D1L7Y1,0.016129032258064516,60,62,2.136219564080238,1.2141701500143869,0.07,4;8;56;60;74;79;98,100
A0A0D1LMF4,0.04054054054054054,2;35;62,74,1.8110304737091065,0.9768026593775465,0.04,14;15;16;25,100
A0A0D2EWW5,0.5,1;6;7;8,8,3.418296704292297,0.948190040308589,0.26,5;8;10;13;20;22;23;27;31;33;35;41;43;55;56;58;60;64;67;78;85;86;87;89;94;97,100
A0A0E4CLA0,0.4375,1;2;8;11;12;15;16,16,3.21807163476944,1.131996797509663,0.91,1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;49;50;51;52;53;54;55;56;58;59;61;62;63;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;86;88;89;90;91;92;93;94;95;96;98;99;100,100
A0A0E4GX90,0.047619047619047616,21;51;59,63,2.1675453001260756,1.1698021971671058,0.05,5;31;49;91;97,100
A0A0F4ES51,0.47619047619047616,1;3;7;8;11;12;13;15;16;18;19;24;25;26;27;28;29;30;32;37;39;40;42;44;52;56;57;58;61;63,63,2.1859159314632417,1.36336519628486,0.51,1;3;4;6;9;10;11;12;13;18;19;20;21;22;23;25;29;31;32;33;34;35;40;41;43;44;45;46;48;53;54;55;57;58;60;61;62;63;64;68;69;70;72;73;76;77;80;82;90;92;95,100
A0A0F5MSZ2,0.1206896551724138,1;4;7;12;17;18;47,58,2.4083694183826445,1.5432285867028674,0.02,41;46,100
A0A0F5NA60,0.4444444444444444,1;5;6;8;13;16;18;19;20;22;26;27;30;34;35;36;37;40;44;47;49;50;53;54,54,2.3161791980266573,1.0848609726602323,0.73,1;2;3;4;5;6;7;9;11;12;13;15;16;18;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;43;46;47;48;50;51;53;54;55;57;59;60;61;62;63;65;66;67;68;71;73;75;77;78;79;80;81;82;83;85;86;87;88;92;93;97;99;100,100
A0A0H2ZUI5,0.2833333333333333,2;7;9;19;24;25;27;28;34;36;42;51;52;53;55;56;60,60,2.196212134361267,0.9925575392932642,0.09,5;11;13;17;24;27;47;63;71,100
